亜鉛	aen	zinc
球威	kyuui	stuff
猛威	mooi	fury
国威	kokui	national prestige
示威	zii	demonstration
勢威	seii	force
暴威	booi	tyranny
神威	sini	god's majesty
武威	bui	military power
霊威	reii	mysterious power
為替	kawase	money order
為政	isei	governing
行為	kooi	act
外為	gaitame	foreign exchange
人為	zini	human work
作為	sakui	artificiality
無為	mui	idleness
営為	eii	business
有為	yuui	capable
天為	teni	providential
有為	yuui	capable
敢為	kani	daring
所為	sei	consequence
不為	hutame	disadvantageous
云為	uni	sayings and doings
当為	tooi	needing to be done
所為	syoi	act
尉官	ikan	officer below the rank of major
大尉	taii	captain
中尉	tyuui	first lieutenant
少尉	syooi	second lieutenant
准尉	zyuni	warrant officer
異常	izyoo	strangeness
異例	irei	exception
異論	iron	different opinion
異議	igi	objection
異動	idoo	change
異変	ihen	unusual phenomenon
異色	isyoku	singular
異様	iyoo	bizarre
異名	imyoo	another name
異物	ibutu	foreign substance
異国	ikoku	foreign country
異質	isitu	different
異臭	isyuu	offensive smell
異端	itan	heresy
異性	isei	the opposite sex
異状	izyoo	something wrong
異彩	isai	conspicuousness
異形	igyoo	fantastic
異種	isyu	different kind
異邦	ihoo	foreign country
異存	izon	objection
異郷	ikyoo	foreign country
異母	ibo	different mother
異才	isai	genius
異人	izin	foreigner
異聞	ibun	strange tale
異説	isetu	different opinion
異父	ihu	different father
異化	ika	dissimilation
異常	izyoo	strangeness
異境	ikyoo	foreign country
異同	idoo	difference
異義	igi	different meaning
異見	iken	different opinion
異体	itai	different body
異本	ihon	different edition
異称	isyoo	alias
異教	ikyoo	paganism
異風	ihuu	unusual customs
異類	irui	varieties
異域	iiki	foreign lands
異字	izi	different character
異数	isuu	unusual
異腹	ihuku	child of a different mother
特異	tokui	unique
驚異	kyooi	wonder
変異	heni	variation
差異	sai	difference
奇異	kii	odd
怪異	kaii	strangeness
小異	syooi	minor differences
特異	tokui	unique
妖異	yooi	mysterious occurrence
霊異	reii	miracle
維持	izi	maintenance
維新	isin	reformation
繊維	seni	fibre
線維	seni	fibre
慰霊	irei	comfort the spirit
慰謝	isya	consolation
慰安	ian	solace
慰留	iryuu	dissuasion from resigning or leaving
慰労	iroo	recognition of services
慰問	imon	condolences
慰撫	ibu	pacification
慰藉	isya	consolation
弔慰	tyooi	condolence
自慰	zii	masturbation
遺体	itai	corpse
遺族	izoku	bereaved family
遺産	isan	inheritance
遺跡	iseki	historic ruins
遺棄	iki	abandonment
遺憾	ikan	regrettable
遺伝	iden	heredity
遺骨	ikotu	remains
遺書	isyo	note left by dead person
遺言	yuigon	will
遺影	iei	portrait of deceased person
遺品	ihin	articles of the deceased
遺児	izi	orphan
遺志	isi	dying wish
遺留	iryuu	bequest
遺物	ibutu	relic
遺構	ikoo	remains
遺作	isaku	posthumous works
遺稿	ikoo	posthumous manuscripts
遺墨	iboku	of departed person
遺失	isitu	loss
遺訓	ikun	dying instructions
遺恨	ikon	grudge
遺漏	iroo	omission
遺骸	igai	remains
遺愛	iai	bequest
遺著	ityo	posthumous work
遺徳	itoku	benefit from ancestors' virtue
遺髪	ihatu	hair of the deceased
遺贈	izoo	bequest
遺文	ibun	literary remains
遺臣	isin	surviving retainer
遺業	igyoo	work left at death
遺賢	iken	able men left out of office
遺筆	ihitu	writing left by the deceased
遺風	ihuu	tradition
遺詠	iei	posthumous song or poem
遺誡	ikai	one's last caution
遺子	isi	orphan
遺制	isei	institutions bequeathed from the past
遺蹟	iseki	historic ruins
遺命	imei	will
拾遺	syuui	gleaning
補遺	hoi	supplement
緯度	ido	latitude
緯糸	yokoito	weft
緯線	isen	parallel
経緯	keii	details
北緯	hokui	north latitude
南緯	nani	southern latitude
逸脱	itudatu	deviation
逸話	ituwa	anecdote
逸材	ituzai	outstanding talent
逸品	ippin	article of rare beauty
逸機	ikki	missing a chance
逸民	itumin	retired person
逸事	ituzi	anecdote
逸走	issoo	escape
逸楽	ituraku	pleasure
逸史	issi	anecdotal history
逸文	itubun	unknown or lost writings
逸聞	itubun	something unheard of
秀逸	syuuitu	excellence
散逸	sanitu	being scattered and ultimately lost
後逸	kooitu	pass
安逸	anitu	ease
飄逸	hyooitu	easygoing
飄逸	hyooitu	easygoing
隠逸	initu	seclusion
放逸	hooitu	self-indulgence
芋粥	imogayu	rice gruel with diced sweet potatoes
芋虫	imomusi	hornworm
芋版	imoban	stamp made with a potato
芋頭	imogasira	tubercle
芋茎	zuiki	taro stem
芋蔓	imozuru	sweet-potato vines
里芋	satoimo	taro
長芋	nagaimo	Chinese yam
山芋	yamaimo	Japanese yam
種芋	taneimo	seed potato
焼芋	yakiimo	roasted sweet potato
姻戚	inseki	relative by marriage
姻族	inzoku	in-law
婚姻	konin	marriage
陰謀	inboo	plot
陰性	insei	negative
陰影	inei	shadow
陰陽	inyoo	cosmic dual forces
陰湿	insitu	malicious
陰口	kageguti	malicious gossip
陰惨	insan	sadness and gloom
陰気	inki	gloom
陰翳	inei	shadow
陰部	inbu	the genital area
陰暦	inreki	lunar calendar
陰鬱	inutu	gloom
陰険	inken	tricky
陰茎	inkei	penis
陰画	inga	negative
陰徳	intoku	secret charity
陰気	inki	gloom
陰極	inkyoku	cathode
陰膳	kagezen	tray for absent one
陰間	kagema	homosexual prostitute who sold favors at banquets, etc. 
陰刻	inkoku	hollow relief
陰毛	inmoo	pubic hair
陰嚢	huguri	scrotum
陰文	inbun	lettering of an engraving
陰陰	inin	forlorn
日陰	hikage	shade
山陰	yamakage	place in the shade of a mountain
木陰	kokage	shade of tree
物陰	monokage	cover
緑陰	ryokuin	shade of trees
中陰	tyuuin	between one's death and rebirth
夜陰	yain	shades of evening
葉陰	hakage	under the leaves
太陰	taiin	the moon
光陰	kooin	time
御陰	okage	grace
樹陰	zyuin	shade of tree
陰陰	inin	forlorn
島陰	simakage	the other side of the island
隠居	inkyo	retirement
隠滅	inmetu	destruction
隠匿	intoku	concealment
隠避	inpi	helping a criminal to avoid arrest
隠蔽	inpei	concealment
隠語	ingo	secret language
隠密	onmitu	privacy
隠喩	inyu	metaphor
隠者	inzya	hermit
隠然	inzen	latent power
隠遁	inton	retirement
隠密	onmitu	privacy
隠棲	insei	secluded life
隠微	inbi	obscurity
隠忍	innin	patience
隠元	ingen	beans
隠士	insi	hermit
隠亡	onboo	cemetery guard
隠逸	initu	seclusion
隠見	inken	appearance and disappearance
惻隠	sokuin	compassion
雪隠	settin	toilet
釘隠	kugikakusi	nail hider
韻律	inritu	rhythm
韻文	inbun	verse
韻書	insyo	Chinese dictionary arranged by finals
余韻	yoin	reverberation
松韻	syooin	wind through pine trees
音韻	onin	vocal sound
気韻	kiin	dignity
風韻	huuin	elegance
脚韻	kyakuin	rhyme
頭韻	tooin	alliteration
押韻	ooin	rhyming
神韻	sinin	exceptional artistry
長唄	nagauta	long epic song with shamisen accompaniment
小唄	kouta	ballad
地唄	ziuta	folk song
端唄	hauta	short love song
舟唄	hunauta	sailor's song
梵唄	bonbai	song in praise of Buddhas virtues
鼻唄	hanauta	humming
浦里	urazato	village by the sea
詠進	eisin	presentation of poem
詠嘆	eitan	exclamation
詠唱	eisyoo	aria
詠草	yomikusa	draft poem
詠歌	eika	poem
諷詠	huuei	poetic composition
朗詠	rooei	recitation
題詠	daiei	poetry composed on a set theme
吟詠	ginei	recitation or chanting of a poem
遺詠	iei	posthumous song or poem
献詠	kenei	poem offering
近詠	kinei	recent poem
影響	eikyoo	influence
影絵	kagee	shadow picture
影像	eizoo	silhouette
影印	eiin	facsimile
影身	kagemi	person always at one's side
撮影	satuei	photography
遺影	iei	portrait of deceased person
面影	omokage	face
投影	tooei	projection
陰影	inei	shadow
人影	hitokage	figure of a person
幻影	genei	phantom
印影	inei	impression of a seal
月影	tukikage	moonlight
船影	senei	sign of a ship
島影	simakage	silhouette of island
孤影	koei	lonely figure
星影	hosikage	starlight
日影	hikage	shade
樹影	zyuei	shadow of a tree
近影	kinei	recent photograph or photography
火影	hokage	firelight
射影	syaei	projection
斜影	syaei	slanted or oblique shadow
灯影	tooei	flicker of light
形影	keiei	the form and its shadow
倒影	tooei	reflection
真影	sinei	portrait
物影	monokage	form
片影	henei	speck
衛星	eisei	satellite
衛生	eisei	health
衛視	eisi	guards at parliament
衛兵	eihei	palace guard
衛士	ezi	soldiers of the ritsuryo system that guarded gates of the imperial palace, the court, etc.
衛戍	eizyu	garrison
防衛	booei	defense
自衛	ziei	self-defense
護衛	goei	guard
前衛	zenei	advance guard
近衛	konoe	Imperial Guards
守衛	syuei	security guard
後衛	kooei	rear guard
警衛	keiei	guard
門衛	monei	gatekeeper
禁衛	kinei	protecting the emperor
親衛	sinei	monarch's guards
疫学	ekigaku	epidemiology
疫病	ekibyoo	infectious disease
疫痢	ekiri	children's dysentery
免疫	meneki	immunity
検疫	keneki	quarantine
防疫	booeki	communicable disease control
牛疫	gyuueki	cattle plague
悪疫	akueki	epidemic
益金	ekikin	profit
益虫	ekityuu	useful insect
益鳥	ekityoo	beneficial bird
益友	ekiyuu	good friend
利益	rieki	profit
収益	syuueki	earnings
公益	kooeki	public
損益	soneki	profit and loss
国益	kokueki	national interest
減益	geneki	decrease in profits
増益	zooeki	increased
権益	keneki	interests
有益	yuueki	beneficial
受益	zyueki	benefitting by
純益	zyuneki	clear profit
差益	saeki	marginal profits
便益	beneki	convenience
無益	mueki	useless
共益	kyooeki	common profit
実益	zitueki	actual profit
私益	sieki	private interest
法益	hooeki	benefit and protection of the law
無益	mueki	useless
裨益	hieki	benefit
用益	yooeki	use and benefits
悦楽	eturaku	enjoyment
満悦	manetu	great delight
愉悦	yuetu	joy
喜悦	kietu	joy
法悦	hooetu	religious exultation
恐悦	kyooetu	delight
謁見	ekken	audience
拝謁	haietu	having an audience with someone of very high social standing
閲覧	eturan	inspection
閲兵	eppei	parade
閲読	etudoku	reading
閲歴	etureki	career
検閲	kenetu	censorship
校閲	kooetu	revision
観閲	kanetu	inspection
査閲	saetu	inspection
親閲	sinetu	personal inspection
沿岸	engan	coast
沿道	endoo	route
沿線	ensen	along railway line
沿海	enkai	coast
沿革	enkaku	history
炎上	enzyoo	blazing up
炎症	ensyoo	inflammation
炎暑	ensyo	heat wave
炎天	enten	blazing heat
炎熱	ennetu	sweltering heat
炎々	enen	blazing
炎炎	enen	blazing
肺炎	haien	pneumonia
肝炎	kanen	hepatitis
鼻炎	bien	nasal inflammation
脳炎	nooen	brain inflammation
胃炎	ien	gastritis
火炎	kaen	flame
陽炎	kageroo	heat haze
気炎	kien	high spirits
筋炎	kinen	inflammation of a muscle
情炎	zyooen	burning passion
炎炎	enen	blazing
宴会	enkai	party
宴席	enseki	banquet
宴楽	enraku	merrymaking
球宴	kyuuen	baseball all-star game
祝宴	syukuen	celebratory banquet
酒宴	syuen	drinking bout
供宴	kyooen	feast
饗宴	kyooen	feast
小宴	syooen	party
開宴	kaien	opening of a banquet
招宴	syooen	banquet
賀宴	gaen	banquet
才媛	saien	literary woman
援助	enzyo	assistance
援護	engo	covering
援軍	engun	reinforcement
援用	enyoo	claim
支援	sien	support
応援	ooen	aid
後援	kooen	support
救援	kyuuen	relief
声援	seien	encouragement
無援	muen	helpless
来援	raien	assistance
増援	zooen	reinforcement
義援	gien	alms
猿楽	sarugaku	sarugaku
猿猴	enkoo	monkey
猿股	sarumata	undershorts
犬猿	kenen	dogs and monkeys
野猿	yaen	wild monkey
山猿	yamazaru	monkey
三猿	sanen	three wise monkeys
鉛筆	enpitu	pencil
鉛毒	endoku	lead poisoning
鉛直	entyoku	perpendicular
鉛管	enkan	lead pipe
黒鉛	kokuen	graphite
亜鉛	aen	zinc
無鉛	muen	unleaded
測鉛	sokuen	sounding lead
縁起	engi	omen
縁組	engumi	betrothal
縁側	engawa	veranda
縁故	enko	relation
縁日	enniti	temple festival
縁談	endan	marriage proposal
縁石	enseki	curb
縁者	enzya	relative
縁台	endai	bench
縁戚	enseki	relative
縁先	ensaki	veranda edge
縁辺	enpen	edge
縁家	enka	related family
縁語	engo	associated word
無縁	muen	unrelated
因縁	innen	fate
血縁	ketuen	blood relative or relationship
内縁	naien	de facto marriage
絶縁	zetuen	breaking off relations
地縁	tien	territorial relationship
復縁	hukuen	reconciliation
周縁	syuuen	fringe
額縁	gakubuti	frame
遠縁	tooen	distant relative
離縁	rien	divorce
黒縁	kurobuti	black rim
外縁	gaien	brink
外縁	gaien	brink
良縁	ryooen	good match
由縁	yuen	acquaintance
逆縁	gyakuen	bad deed which ultimately results in the creation of a good Buddhist
機縁	kien	opportunity
奇縁	kien	strange coincidence
銀縁	ginbuti	silver-rimmed
金縁	kinbuti	gilded edges or rims
類縁	ruien	affinity
広縁	hiroen	broad or spacious veranda
結縁	ketien	making a connection
宿縁	syukuen	destiny
仏縁	butuen	Buddha's providence
不縁	huen	divorce
有縁	uen	related to the teachings of Buddha
悪縁	akuen	evil destiny or connection
順縁	zyunen	favorable condition
川縁	kawabuti	riverside
艶笑	ensyoo	seductive smile
艶然	enzen	sweetly smiling
艶聞	enbun	love affair
艶姿	adesugata	charming figure
妖艶	yooen	fascinating
凹凸	oototu	unevenness
凹版	oohan	intaglio
凸凹	dekoboko	unevenness
応援	ooen	aid
応募	oobo	application
応用	ooyoo	application
応酬	oosyuu	exchange
応答	ootoo	reply
応急	ookyuu	emergency
応対	ootai	receiving
応戦	oosen	accepting a challenge
応札	oosatu	bid
応接	oosetu	reception
応分	oobun	according to one's abilities
応諾	oodaku	consent
応手	oosyu	response
応力	ooryoku	stress
応召	oosyoo	respond to a call for military service
応仁	oonin	Ounin era
応報	oohoo	retribution
応訴	ooso	countersuit
応変	oohen	response
対応	taioo	interaction
反応	hannoo	reaction
適応	tekioo	adaptation
呼応	kooo	hailing each other
相応	soooo	suitability
即応	sokuoo	compliance
順応	zyunnoo	adaptation
供応	kyoooo	entertainment
相応	soooo	suitability
感応	kanoo	inspiration
否応	iyaoo	answer respectively agreement or disagreement
照応	syoooo	correspondence
饗応	kyoooo	entertainment
内応	naioo	secret understanding
往復	oohuku	making a round trip
往来	oorai	coming and going
往年	oonen	former
往診	oosin	doctor's visit
往時	oozi	ancient times
往路	ooro	outward journey
往生	oozyoo	death
往還	ookan	traffic
往信	oosin	first half of a reply card
往事	oozi	the past
往訪	oohoo	visit
往古	ooko	ancient times
往昔	ooseki	ancient times
既往	kioo	the past
勇往	yuuoo	spirited advance
旺盛	oosei	full of vim and vigor
殴打	ooda	hit
殴殺	oosatu	beating to death
桜花	ooka	cherry blossom
桜桃	ootoo	cherry
桜色	sakurairo	cherry blossom
桜餅	sakuramoti	rice cake with bean paste wrapped in a preserved cherry leaf
桜湯	sakurayu	drink made of boiled water poured over preserved cherry leaves and blossoms
桜草	sakurasoo	primula
桜貝	sakuragai	Nitidotellina nitidula
桜紙	sakuragami	soft, thin paper
桜飯	sakuramesi	rice boiled with soy sauce and sake
山桜	yamazakura	mountain cherry
夜桜	yozakura	cherry trees at evening
葉桜	hazakura	cherry tree in leaf
観桜	kanoo	cherry blossom viewing
糸桜	itozakura	droopy-branch cherry tree
姥桜	ubazakura	faded beauty
徒桜	adazakura	cherry blossom
翁草	okinagusa	nodding anemone
玄翁	gennoo	sledgehammer
老翁	roooo	old man
憶測	okusoku	guess
記憶	kioku	memory
追憶	tuioku	recollection
虞犯	guhan	likelihood of committing a crime
乙女	otome	little girl
乙姫	otohime	youngest princess
乙種	otusyu	B-grade
乙矢	otoya	arrow with feathers that curve to the right
乙張	merihari	modulation
甲乙	koootu	A and B
卸売	orosiuri	wholesale
卸値	orosine	wholesale price
棚卸	tanaorosi	stock taking
恩恵	onkei	grace
恩師	onsi	teacher
恩赦	onsya	amnesty
恩給	onkyuu	pension
恩賜	onsi	Imperial gift
恩人	onzin	benefactor
恩義	ongi	obligation
恩寵	ontyoo	grace
恩典	onten	favour
恩讐	onsyuu	love and hate
恩賞	onsyoo	reward
恩顧	onko	favour
恩愛	onnai	kindness and affection
恩命	onmei	gracious command or words
恩情	onzyoo	compassion
恩沢	ontaku	favour
謝恩	syaon	gratitude
報恩	hooon	repaying a kindness
聖恩	seion	imperial blessings or favor
忘恩	booon	ingratitude
天恩	tenon	blessings of heaven
旧恩	kyuuon	old favors
朝恩	tyooon	imperial blessing or favor
仏恩	butuon	grace of Buddha
厚恩	kooon	great favor
穏健	onken	quiet
穏便	onbin	gentle
穏当	ontoo	proper
穏健	onken	quiet
穏当	ontoo	proper
穏和	onwa	gentle
穏和	onwa	gentle
平穏	heion	tranquil
不穏	huon	unrest
平穏	heion	tranquil
安穏	annon	peace
静穏	seion	serene
不穏	huon	unrest
仮設	kasetu	temporary
仮称	kasyoo	temporary name
仮名	kamei	alias
仮想	kasoo	imagination
仮面	kamen	mask
仮定	katei	assumption
仮説	kasetu	hypothesis
仮装	kasoo	costume
仮眠	kamin	nap
仮死	kasi	asphyxiation
仮題	kadai	tentative title
仮病	kebyoo	feigned illness
仮託	kataku	pretext
仮借	kasyaku	borrowing
仮親	karioya	adopted parents
仮性	kasei	FALSE
仮象	kasyoo	semblance
仮宮	karimiya	temporary shrine
仮寝	karine	siesta
仮泊	kahaku	emergency anchoring
仮初	karisome	temporary
仮植	kasyoku	temporary planting
仮寓	kaguu	temporary residence
虚仮	koke	folly
佳作	kasaku	good piece of work
佳境	kakyoo	climax
佳品	kahin	choice article
佳人	kazin	beauty
佳良	karyoo	good
佳話	kawa	good story
佳辰	kasin	lucky day
佳日	kazitu	auspicious day
佳景	kakei	beautiful view
佳什	kazyuu	excellent poem
佳節	kasetu	auspicious occasion
佳麗	karei	beauty
絶佳	zekka	superb
価格	kakaku	price
価値	kati	value
価額	kagaku	valuation
評価	hyooka	valuation
株価	kabuka	stock prices
物価	bukka	prices of commodities
時価	zika	current value
地価	tika	the price of land
有価	yuuka	valuable
単価	tanka	unit price
安価	anka	low price
定価	teika	list price
高価	kooka	high price
対価	taika	compensation
真価	sinka	true value
原価	genka	cost price
米価	beika	rice price
薬価	yakka	National Health Insurance drug price
減価	genka	price reduction
廉価	renka	low price
等価	tooka	equivalence
代価	daika	price
廉価	renka	low price
売価	baika	selling price
市価	sika	market price
高価	kooka	high price
乳価	nyuuka	price of milk
平価	heika	normal prices
特価	tokka	special price
等価	tooka	equivalence
頒価	hanka	distribution price
予価	yoka	price
声価	seika	reputation
正価	seika	net price
比価	hika	parity
換価	kanka	appraisal
紙価	sika	price of paper
架空	kakuu	aerial
架橋	kakyoo	bridge building
架線	kasen	aerial wiring
架設	kasetu	construction
架台	kadai	stand
高架	kooka	overhead structure
担架	tanka	stretcher
書架	syoka	bookshelf
稲架	hasa	drying rice on a rack
開架	kaika	open access
橋架	kyooka	bridge girder
懸架	kenka	suspension
画架	gaka	easel
後架	kooka	toilet
華麗	karei	splendor
華僑	kakyoo	overseas Chinese merchants
華道	kadoo	flower arrangement
華氏	kasi	degrees Fahrenheit
華族	kazoku	noble
華美	kabi	pomp
華厳	kegon	avatamsa
華奢	kyasya	dainty
華燭	kasyoku	bright light
華客	kakaku	special guests
華胥	kasyo	ideal land
華甲	kakoo	aged 61
華鬘	keman	Buddhist decoration engraved with various motifs, often made from gilt copper 
豪華	gooka	wonderful
中華	tyuuka	Chinese
繁華	hanka	bustle
昇華	syooka	sublimation
栄華	eiga	glory
精華	seika	flower
豪華	gooka	wonderful
蓮華	renge	lotus flower
繁華	hanka	bustle
法華	hokke	Nichiren sect
散華	sange	falling as flowers do
香華	kooge	flowers and incense
国華	kokka	national pride
湯華	yubana	hot-springs mineral deposits
浮華	huka	empty show
渦中	katyuu	vortex
渦潮	uzusio	whirling tides
渦巻	uzumaki	whirlpool
渦状	kazyoo	spiral
戦渦	senka	chaos of war
嫁御	yomego	bride
嫁菜	yomena	Aster yomena
転嫁	tenka	imputation
花嫁	hanayome	bride
兄嫁	aniyome	elder brother's wife
降嫁	kooka	marriage of an Imperial princess to a subject
許嫁	iinazuke	fiance
再嫁	saika	remarriage
暇人	himazin	person with a lot of free time on their hands
暇々	himahima	one's leisure hours
休暇	kyuuka	holiday
余暇	yoka	leisure
寸暇	sunka	moment's leisure
閑暇	kanka	leisure
請暇	seika	vacation request
禍根	kakon	root of evil
禍福	kahuku	fortune and misfortune
惨禍	sanka	calamity
戦禍	senka	war damages
舌禍	zekka	slip of tongue
災禍	saika	accident
輪禍	rinka	traffic accident
黄禍	kooka	Yellow Peril
薬禍	yakka	harmful side effects of a medicine or drug
筆禍	hikka	troubles brought on by what one has written
水禍	suika	flood disaster
寡占	kasen	oligopoly
寡黙	kamoku	silent
寡婦	yamome	widow
寡黙	kamoku	silent
寡作	kasaku	low production
寡作	kasaku	low production
寡聞	kabun	limited information
寡言	kagen	reticence
寡兵	kahei	small army force
多寡	taka	degree
衆寡	syuuka	the many and the few
箇所	kasyo	passage
箇条	kazyoo	item
箇所	kasyo	passage
箇条	kazyoo	item
箇月	kagetu	months
稼働	kadoo	operation
稼業	kagyoo	trade
稼動	kadoo	operation
蚊帳	kaya	mosquito net
蚊柱	kabasira	mosquito swarm
我々	wareware	we
我慢	gaman	patience
我流	garyuu	self-taught
我家	wagaya	one's house
我執	gasyuu	egotism
我侭	wagamama	selfishness
我意	gai	self-will
我国	wagakuni	our country
我輩	wagahai	I
我欲	gayoku	selfishness
我身	wagami	myself
我見	gaken	selfish mind
我人	warehito	myself and others
我利	gari	self interest
我儘	wagamama	selfishness
自我	ziga	self
彼我	higa	self and others
怪我	kega	injury
無我	muga	selflessness
忘我	booga	trance
没我	botuga	selflessness
小我	syooga	the self
芽胞	gahoo	spore
発芽	hatuga	germination
麦芽	bakuga	malt
新芽	sinme	sprout
花芽	kaga	flower bud
萌芽	hooga	germination
胚芽	haiga	germ
若芽	wakame	sprouts
冬芽	tooga	winter buds
肉芽	nikuga	granulation
出芽	syutuga	germination
腋芽	ekiga	axillary bud
賀状	gazyoo	New Year's card
賀詞	gasi	congratulations
賀正	gasei	A Happy New Year!
賀春	gasyun	New Year greeting
賀宴	gaen	banquet
祝賀	syukuga	celebration
年賀	nenga	New Year's greetings
参賀	sanga	congratulatory palace visit
慶賀	keiga	congratulation
謹賀	kinga	wishes of happiness
朝賀	tyooga	New Year's greetings or well-wishes offered by retainers to the Emperor
奉賀	hooga	respectful congratulations
雅楽	gagaku	old Japanese court music
雅号	gagoo	alias
雅文	gabun	style
雅量	garyoo	magnanimity
雅趣	gasyu	elegance
雅語	gago	refined diction
雅俗	gazoku	refined and vulgar
雅致	gati	artistry
雅言	gagen	elegant words
雅馴	gazyun	refined
優雅	yuuga	elegance
優雅	yuuga	elegance
風雅	huuga	elegance
風雅	huuga	elegance
典雅	tenga	grace
高雅	kooga	refined
博雅	hakuga	well-informed
典雅	tenga	grace
閑雅	kanga	refined
高雅	kooga	refined
文雅	bunga	elegant or refined style
温雅	onga	graceful
古雅	koga	classical elegance
都雅	toga	graceful
文雅	bunga	elegant or refined style
餓死	gasi	starvation
餓鬼	gaki	brat
飢餓	kiga	starvation
戒告	kaikoku	admonition
戒厳	kaigen	martial law
戒名	kaimyoo	posthumous Buddhist name
戒律	kairitu	precept
戒壇	kaidan	ordination platform
警戒	keikai	vigilance
懲戒	tyookai	discipline
厳戒	genkai	strict guard
哨戒	syookai	patrolling
自戒	zikai	self-admonition
訓戒	kunkai	warning
十戒	zikkai	the 10 precepts
破戒	hakai	breaking a commandment
教戒	kyookai	counselling
授戒	zyukai	handing down the precepts
受戒	zyukai	vowing to follow the precepts
五戒	gokai	the five precepts
斎戒	saikai	purification
持戒	zikai	strictly adhering to Buddhist precepts
怪物	kaibutu	monster
怪談	kaidan	ghost story
怪獣	kaizyuu	monster
怪人	kaizin	mysterious person
怪奇	kaiki	bizarre
怪力	kairiki	superhuman strength
怪異	kaii	strangeness
怪我	kega	injury
怪盗	kaitoo	thief
怪童	kaidoo	unusually large or strong youth
怪死	kaisi	mysterious death
怪奇	kaiki	bizarre
怪訝	kegen	dubious
怪腕	kaiwan	remarkable ability
怪傑	kaiketu	man of extraordinary talent
怪火	kaika	fire of mysterious or suspicious origin
怪光	kaikoo	mysterious light
妖怪	yookai	ghost
誘拐	yuukai	abduction
悔恨	kaikon	regret
悔悟	kaigo	remorse
悔悛	kaisyun	repentance
後悔	kookai	regret
懺悔	zange	repentance
塊状	kaizyoo	massive
塊茎	kaikei	tuber
塊根	kaikon	tuberous root
団塊	dankai	mass
金塊	kinkai	gold nugget
氷塊	hyookai	lump of ice
山塊	sankai	mountain mass
一塊	hitokatamari	one lump
石塊	isikure	stone
土塊	dokai	lump of earth
銀塊	ginkai	silver nugget
血塊	kekkai	blood clot
壊滅	kaimetu	destruction
壊死	esi	necrosis
壊疽	eso	gangrene
壊乱	kairan	corruption
破壊	hakai	destruction
崩壊	hookai	collapse
倒壊	tookai	destruction
損壊	sonkai	damage
全壊	zenkai	complete destruction
半壊	hankai	partial destruction
決壊	kekkai	down
自壊	zikai	disintegration
不壊	hue	indestructibility
懐疑	kaigi	doubt
懐妊	kainin	pregnancy
懐中	kaityuu	one's pocket
懐柔	kaizyuu	winning over
懐石	kaiseki	simple meal eaten before tea is served
懐古	kaiko	recalling the old days
懐刀	hutokorogatana	dagger
懐旧	kaikyuu	recalling the old days
懐紙	kaisi	paper folded and tucked inside the front of one's kimono
懐胎	kaitai	conception
懐炉	kairo	pocket heater
懐郷	kaikyoo	nostalgia
懐手	hutokorode	with hands in pockets
懐抱	kaihoo	idea borne in mind
懐剣	kaiken	dagger
述懐	zyukkai	recollection
本懐	honkai	one's long-cherished desire
感懐	kankai	impression
