Kanji	Furigana	Romaji	Meaning
脱ぐ	ぬぐ	nugu	to take off clothes
寝る	ねる	neru	to go to bed
登る	のぼる	noboru	to climb up
飲物	のみもの	nomimono	drinks
飲む	のむ	nomu	to drink
乗る	のる	noru	to take, to ride
歯	は	ha	teeth
灰皿	はいざら	haizara	ashtray
入る	はいる	hairu	to enter
葉書	はがき	hagaki	postcard
履く	はく	haku	to put on shoes
箱	はこ	hako	box
橋	はし	hashi	bridge
箸	はし	hashi	chopsticks
始まる	はじまる	hajimaru	to begin, to start
始め	はじめ	hajime	start, the beginning
初めて	はじめて	hajimete	for the first time
走る	はしる	hashiru	to run
二十歳	はたち	hatachi	20 years old
働く	はたらく	hataraku	to work
八	はち	hachi	eight
二十日	はつか	hatsuka	the 20th of the month, 20 days
花	はな	hana	flower
鼻	はな	hana	nose
話	はなし	hanashi	conversation, tale
話す	はなす	hanasu	to talk, to speak, to tell
母	はは	haha	my mother
早い	はやい	hayai	early
速い	はやい	hayai	fast, quick
春	はる	haru	spring
張る	はる	haru	to put something on, to stick
晴れる	はれる	hareru	to clear up
晩	ばん	ban	evening
~番	〜ばん	~ban	No.~, ranking
番号	ばんごう	bangou	number
晩ご飯	ばんごはん	bangohan	dinner
半分	はんぶん	hanbun	half
東	ひがし	higashi	east
引く	ひく	hiku	to pull
弾く	ひく	hiku	to play (an instrument)
低い	ひくい	hikui	low
飛行機	ひこうき	hikouki	plane
左	ひだり	hidari	left
人	ひと	hito	person
一つ	ひとつ	hitotsu	one
一月	ひとつき	hitotsuki	one month
一人	ひとり	hitori	one person
暇	ひま	hima	free time, leisure
百	ひゃく	hyaku	hundred
病院	びょういん	byouin	hospital
病気	びょうき	byouki	ill, sick
平仮名	ひらがな	hiragana	hiragana characters
昼	ひる	hiru	noon
昼ご飯	ひるごはん	hirugohan	lunch
広い	ひろい	hiroi	wide, spacious
封筒	ふうとう	fuutou	envelope
吹く	ふく	fuku	to blow (wind)
服	ふく	fuku	clothes
二つ	ふたつ	futatsu	two
豚肉	ぶたにく	butaniku	pork
二人	ふたり	futari	two people
二日	ふつか	futsuka	2nd day of the month, 2 days
太い	ふとい	futoi	thick, fat
降る	ふる	furu	to fall (rain, snow)
古い	ふるい	furui	old
お風呂	おふろ	ofuro	bath
下手	へた	heta	not good at something
部屋	へや	heya	room
辺	へん	hen	side, part, area
勉強	べんきょう	benkyou	to study
便利	べんり	benri	convenient
方	ほう	hou	~より〜のほうが〜
帽子	ぼうし	boushi	hat
他	ほか	hoka	another, other
欲しい	ほしい	hoshii	to want something
細い	ほそい	hosoi	thin, fine
本	ほん	hon	book
本棚	ほんだな	hondana	bookshelf
本当に	ほんとうに	hontouni	really
毎朝	まいあさ	maiasa	every morning
毎月	まいつき/まいげつ	maitsuki/maigetsu	every month
毎週	まいしゅう	maishuu	every week
毎日	まいにち	mainichi	every day
毎年	まいとし/まいねん	maitoshi/mainen	every year
毎晩	まいばん	maiban	every evening
前	まえ	mae	front
曲がる	まがる	magaru	to turn
不味い	まずい	mazui	bad tasting
町	まち	machi	city, town
待つ	まつ	matsu	to wait
真直ぐに	まっすぐに	massugu ni	straight ahead
窓	まど	mado	window
丸い	まるい	marui	round
万	まん	man	ten thousand
万年筆	まんねんひつ	mannenhitsu	fountain pen
磨く	みがく	migaku	to polish, to brush
右	みぎ	migi	right
短い	みじかい	mijikai	short
お水	おみず	omizu	water
店	みせ	mise	shop
見せる	みせる	miseru	to look, to watch
道	みち	michi	road
三日	みっか	mikka	3rd day of a month, 3 days
三つ	みっつ	mittsu	three
皆さん	みなさん	minsan	everyone
南	みなみ	minami	south
耳	みみ	mimi	ear
見る	みる	miru	to see, to watch
皆	みんな	minna	all, everyone
六日	むいか	muika	the 6th day of a month, 6 days
向こう	むこう	mukou	over there
難しい	むずかしい	muzukashii	difficult
六つ	むっつ	muttsu	six
目	め	me	eye
木曜日	もくようび	mokuyoubi	Thursday
勿論	もちろん	mochiron	of course
持つ	もつ	motsu	to have, to own
物	もの	mono	thing
門	もん	mon	gate
問題	もんだい	mondai	problem, question
八百屋	やおや	yaoya	vegetable shop
野菜	やさい	yasai	vegetable
優しい	やさしい	yasashii	gentle
安い	やすい	yasui	cheap, inexpensive
休み	やすみ	yasumi	holiday, vacation
休む	やすむ	yasumu	to rest
八つ	やっつ	yattsu	eight
山	やま	yama	mountain
八日	ようか	youka	8th day of the month, 8 days
洋服	ようふく	youfuku	western style clothing
横	よこ	yoko	horizontal
四日	よっか	yokka	4th day of the month, 4 days
四つ	よっつ	yottsu	four
呼ぶ	よぶ	yobu	to call
読む	よむ	yomu	to read
夜	よる	yoru	night
来月	らいげつ	raigetsu	next month
来週	らいしゅう	raishuu	next week
来年	らいねん	rainen	next year
立派	りっぱ	rippa	splendid
留学生	りゅうがくせい	ryuugakusei	foreign student
両親	りょうしん	ryoushin	parents
料理	りょうり	ryouri	cooking
旅行	りょこう	ryokou	travel
冷蔵庫	れいぞうこ	reizouko	refrigerator
練習	れんしゅう	renshuu	practice
六	ろく	roku	six
若い	わかい	wakai	young
分かる	わかる	wakaru	to know, to understand
忘れる	わすれる	wasureru	to forget
私	わたし	watashi	me, I
渡す	わたす	watasu	to hand over
渡る	わたる	wataru	to cross
悪い	わるい	warui	bad
