Kanji	Furigana	Romaji	Meaning
夏休 み	なつやす み	natsuyasumi	summer vacation
七 つ	なな つ	nanatsu	seven
何	なに	nani	what?
七日	なのか	nanoka	the 7th of a month, 7 days
名前	なまえ	namae	name
習 う	なら う	narau	to learn
並 ぶ	なら ぶ	narabu	to form a line
並 べ る	なら べ る	naraberu	to line up
二	に	ni	two
賑 や か	にぎ や か	nigiyaka	lively
お 肉	お にく	oniku	meat
西	にし	nishi	west
日曜日	にちようび	nichiyoubi	Sunday
荷物	にもつ	nimotsu	luggage
庭	にわ	niwa	garden
脱 ぐ	ぬ ぐ	nugu	to take off clothes
寝 る	ね る	neru	to go to bed
登 る	のぼ る	noboru	to climb up
飲物	のみもの	nomimono	drinks
飲 む	の む	nomu	to drink
乗 る	の る	noru	to take, to ride
歯	は	ha	teeth
灰皿	はいざら	haizara	ashtray
入 る	はい る	hairu	to enter
葉書	はがき	hagaki	postcard
履 く	は く	haku	to put on shoes
箱	はこ	hako	box
橋	はし	hashi	bridge
箸	はし	hashi	chopsticks
始 ま る	はじ ま る	hajimaru	to begin, to start
始 め	はじ め	hajime	start, the beginning
初 め て	はじ め て	hajimete	for the first time
走 る	はし る	hashiru	to run
二十歳	はたち	hatachi	20 years old
働 く	はたら く	hataraku	to work
八	はち	hachi	eight
二十日	はつか	hatsuka	the 20th of the month, 20 days
花	はな	hana	flower
鼻	はな	hana	nose
話	はなし	hanashi	conversation, tale
話 す	はな す	hanasu	to talk, to speak, to tell
母	はは	haha	my mother
早 い	はや い	hayai	early
速 い	はや い	hayai	fast, quick
春	はる	haru	spring
張 る	は る	haru	to put something on, to stick
晴 れ る	は れ る	hareru	to clear up
晩	ばん	ban	evening
~番	〜ばん	~ban	No.~, ranking
番号	ばんごう	bangou	number
晩 ご 飯	ばん ご はん	bangohan	dinner
半分	はんぶん	hanbun	half
東	ひがし	higashi	east
引 く	ひ く	hiku	to pull
弾 く	ひ く	hiku	to play (an instrument)
低 い	ひく い	hikui	low
飛行機	ひこうき	hikouki	plane
左	ひだり	hidari	left
人	ひと	hito	person
一 つ	ひと つ	hitotsu	one
一月	ひとつき	hitotsuki	one month
一人	ひとり	hitori	one person
暇	ひま	hima	free time, leisure
百	ひゃく	hyaku	hundred
病院	びょういん	byouin	hospital
病気	びょうき	byouki	ill, sick
平仮名	ひらがな	hiragana	hiragana characters
昼	ひる	hiru	noon
昼 ご 飯	ひる ご はん	hirugohan	lunch
広 い	ひろ い	hiroi	wide, spacious
封筒	ふうとう	fuutou	envelope
吹 く	ふ く	fuku	to blow (wind)
服	ふく	fuku	clothes
二 つ	ふた つ	futatsu	two
豚肉	ぶたにく	butaniku	pork
二人	ふたり	futari	two people
二日	ふつか	futsuka	2nd day of the month, 2 days
太 い	ふと い	futoi	thick, fat
降 る	ふ る	furu	to fall (rain, snow)
古 い	ふる い	furui	old
お 風呂	お ふろ	ofuro	bath
下手	へた	heta	not good at something
部屋	へや	heya	room
辺	へん	hen	side, part, area
勉強	べんきょう	benkyou	to study
便利	べんり	benri	convenient
方	ほう	hou	~より〜のほうが〜
帽子	ぼうし	boushi	hat
他	ほか	hoka	another, other
欲 し い	ほ し い	hoshii	to want something
細 い	ほそ い	hosoi	thin, fine
本	ほん	hon	book
本棚	ほんだな	hondana	bookshelf
本当 に	ほんとう に	hontouni	really
毎朝	まいあさ	maiasa	every morning
毎月	まいつき/まいげつ	maitsuki/maigetsu	every month
毎週	まいしゅう	maishuu	every week
毎日	まいにち	mainichi	every day
毎年	まいとし/まいねん	maitoshi/mainen	every year
毎晩	まいばん	maiban	every evening
前	まえ	mae	front
曲 が る	ま が る	magaru	to turn
不味 い	まず い	mazui	bad tasting
町	まち	machi	city, town
待 つ	ま つ	matsu	to wait
真直 ぐ に	まっす ぐ に	massugu ni	straight ahead
窓	まど	mado	window
丸 い	まる い	marui	round
万	まん	man	ten thousand
万年筆	まんねんひつ	mannenhitsu	fountain pen
磨 く	みが く	migaku	to polish, to brush
右	みぎ	migi	right
短 い	みじか い	mijikai	short
お 水	お みず	omizu	water
店	みせ	mise	shop
見 せ る	み せ る	miseru	to look, to watch
道	みち	michi	road
三日	みっか	mikka	3rd day of a month, 3 days
三 つ	みっ つ	mittsu	three
皆 さ ん	みな さ ん	minsan	everyone
南	みなみ	minami	south
耳	みみ	mimi	ear
見 る	み る	miru	to see, to watch
皆	みんな	minna	all, everyone
六日	むいか	muika	the 6th day of a month, 6 days
向 こ う	む こ う	mukou	over there
難 し い	むずか し い	muzukashii	difficult
六 つ	むっ つ	muttsu	six
目	め	me	eye
木曜日	もくようび	mokuyoubi	Thursday
勿論	もちろん	mochiron	of course
持 つ	も つ	motsu	to have, to own
物	もの	mono	thing
門	もん	mon	gate
問題	もんだい	mondai	problem, question
八百屋	やおや	yaoya	vegetable shop
野菜	やさい	yasai	vegetable
優 し い	やさ し い	yasashii	gentle
安 い	やす い	yasui	cheap, inexpensive
休 み	やす み	yasumi	holiday, vacation
休 む	やす む	yasumu	to rest
八 つ	やっ つ	yattsu	eight
山	やま	yama	mountain
八日	ようか	youka	8th day of the month, 8 days
洋服	ようふく	youfuku	western style clothing
横	よこ	yoko	horizontal
四日	よっか	yokka	4th day of the month, 4 days
四 つ	よっ つ	yottsu	four
呼 ぶ	よ ぶ	yobu	to call
読 む	よ む	yomu	to read
夜	よる	yoru	night
来月	らいげつ	raigetsu	next month
来週	らいしゅう	raishuu	next week
来年	らいねん	rainen	next year
立派	りっぱ	rippa	splendid
留学生	りゅうがくせい	ryuugakusei	foreign student
両親	りょうしん	ryoushin	parents
料理	りょうり	ryouri	cooking
旅行	りょこう	ryokou	travel
冷蔵庫	れいぞうこ	reizouko	refrigerator
練習	れんしゅう	renshuu	practice
六	ろく	roku	six
若 い	わか い	wakai	young
分 か る	わ か る	wakaru	to know, to understand
忘 れ る	わす れ る	wasureru	to forget
私	わたし	watashi	me, I
渡 す	わた す	watasu	to hand over
渡 る	わた る	wataru	to cross
悪 い	わる い	warui	bad
