Kanji	Furigana	Romaji	Meaning
残念	ざんねん	zannen	disappointment
市	し	shi	city
字	じ	ji	city
試合	しあい	shiai	match
仕方	しかた	shikata	method
叱 る	しか る	shikaru	to scold
試験	しけん	shiken	exam
事故	じこ	jiko	accident
地震	じしん	jishin	earthquake
時代	じだい	jidai	era
下着	したぎ	shitagi	underwear
支度	したく	shitaku	preparations
失敗	しっぱい	shippai	failure
辞典	じてん	jiten	dictionary
品物	しなもの	shinamono	goods
島	しま	shima	island
市民	しみん	shimin	citizen
事務所	じむしょ	jimusho	office
社会	しゃかい	shakai	society
社長	しゃちょう	shachou	company president
自由	じゆう	jiyuu	freedom
習慣	しゅうかん	shuukan	custom
柔道	じゅうどう	jyuudou	judo
十分	じゅうぶん	jyuubun	enough
出席	しゅっせき	shusseki	attendance
出発	しゅっぱつ	shuppatsu	departure
趣味	しゅみ	shumi	a hobby
準備	じゅんび	junbi	preparation
紹介	しょうかい	shoukai	introduction
小学校	しょうがっこう	shougakkou	elementary school
小説	しょうせつ	shousetsu	novel
招待	しょうたい	shoutai	invitation
承知	しょうち	shouchi	consentment
将来	しょうらい	shourai	future
食事	しょくじ	shokuji	a meal
食料品	しょくりょうひん	shokuryouhin	groceries
女性	じょせい	jyosei	woman
知 ら せ る	し ら せ る	shiraseru	to notify
調 べ る	しら べ る	shiraberu	to investigate
人口	じんこう	jinkou	population
神社	じんじゃ	jinja	Shinto shrine
親切	しんせつ	shinsetsu	kindness
心配	しんぱい	shinpai	worries
新聞社	しんぶんしゃ	shinbunnsha	newspaper company
水泳	すいえい	suiei	swimming
水道	すいどう	suidou	water supply
過 ぎ る	す ぎ る	sugiru	to exceed
空 く	す く	suku	to become empty
凄 い	すご い	sugoi	terrific
進 む	すす む	susumu	to make progress
捨 て る	す て る	suteru	to throw away
砂	すな	suna	sand
素晴 ら し い	すば ら し い	subarashii	wonderful
滑 る	すべ る	suberu	to slide
隅	すみ	sumi	corner
済 む	す む	sumu	to finish
生活	せいかつ	seikatsu	life
生産	せいさん	seisan	production
西洋	せいよう	seiyou	western countries
世界	せかい	sekai	the world
席	せき	seki	seat
説明	せつめい	setsumei	explanation
是非	ぜひ	zehi	without fail
世話	せわ	sewa	to look after
線	せん	sen	line
戦争	せんそう	sensou	war
先輩	せんぱい	senpai	senior
相談	そうだん	soudan	to discuss
卒業	そつぎょう	sotsugyou	graduation
祖父	そふ	sofu	grandfather
祖母	そぼ	sobo	grandmother
退院	たいいん	taiin	leave hospital
大学生	だいがくせい	daigakusei	university student
大事	だいじ	daiji	important
大体	だいたい	daitai	generally
大分	だいぶ	daibu	greatly
台風	たいふう	taifuu	typhoon
倒 れ る	たお れ る	taoreru	to break down
確 か	たし か	tashika	definite
足 す	た す	tasu	to add a number
訪 ね る	たず ね る	tazuneru	 to visit
尋 ね る	たず ね る	tazuneru	 to ask
正 し い	ただ し い	tadashii	correct
畳	たたみ	tatami	a Tatami
立 て る	た て る	tateru	stand up
建 て る	た て る	tateru	to build
例 え ば	たと え ば	tatoeba	for example
棚	たな	tana	shelves
楽 し み	たの し み	tanoshimi	pleasure
為	ため	tame	in order to
駄目	だめ	dame	no good
足 り る	た り る	tariru	be sufficient
男性	だんせい	dansei	man
暖房	だんぼう	danbou	heating
血	ち	chi	blood
力	ちから	chikara	strengh
注意	ちゅうい	chuui	caution
中学校	ちゅうがっこう	chuugakkou	junior high school
注射	ちゅうしゃ	chuusha	injection
駐車場	ちゅうしゃじょう	chuushajou	parking lot
地理	ちり	chiri	geography
捕 ま え る	つか ま え る	tsukamaeru	to seize
月	つき	tsuki	moon
付 く	つ く	tsuku	to be attached
漬 け る	つ け る	tsukeru	to soak
都合	つごう	tsugou	circumstances
伝 え る	つた え る	tsutaeru	to report
続 く	つづ く	tsuzuku	continue
続 け る	つづ け る	tsuzukeru	to continue
包 む	つつ む	tsutsumu	to wrap
妻	つま	tsuma	wife
釣 る	つ る	tsuru	to fish
連 れ る	つ れ る	tsureru	to lead
丁寧	ていねい	teinei	polite
適当	てきとう	tekitou	suitable
手伝 う	てつだ う	tetsudau	to assist
手袋	てぶくろ	tebukuro	glove
寺	てら	tera	temple
点	てん	ten	point
店員	てんいん	tenin	shop assistant
天気予報	てんきよほう	tenkiyohou	weather forecast
電灯	でんとう	dentou	electric light
電報	でんぽう	denpou	 telegram
展覧会	てんらんかい	tenrankai	exhibition
都	と	to	metropolitan
道具	どうぐ	dougu	tool
動物園	どうぶつえん	doubutsuen	zoo
遠 く	とお く	tooku	distant
通 る	とお る	tooru	to go through
特別	とくべつ	tokubetsu	special
床屋	とこや	tokoya	a barber shop
途中	とちゅう	tochuu	on the way
届 け る	とど け る	todokeru	to reach
泊 ま る	と ま る	tomaru	to lodge at
止 め る	と め る	tomeru	to stop
取 り 替 え る	と り か え る	torikaeru	to exchange
泥棒	どろぼう	dorobou	thief
直 す	なお す	naosu	to fix
中々	なかなか	nakanaka	considerably
泣 く	な く	naku	to cry
亡 く な る	な く な る	nakunaru	to die
投 げ る	な げ る	nageru	to throw away
鳴 る	な る	naru	sound
匂 い	にお い	nioi	a smell
苦 い	にが い	nigai	bitter
二階建 て	にかいだ て	nikaidate	two storied
逃 げ る	に げ る	nigeru	to escape
日記	にっき	nikki	diary
入院	にゅういん	nyuuin	be hospitalized
似 る	に る	niru	to be similar
人形	にんぎょう	ninngyou	a doll
盗 む	ぬす む	nusumu	to steal
塗 る	ぬ る	nuru	to paint
濡 れ る	ぬ れ る	nureru	to get wet
値段	ねだん	nedan	price
熱	ねつ	netsu	fever
熱心	ねっしん	nesshin	enthusiasm
寝坊	ねぼう	nebou	sleeping in late
眠 い	ねむ い	nemui	to be sleepy
眠 る	ねむ る	nemuru	to sleep
残 る	のこ る	nokoru	to remain
乗 り 換 え る	の り か え る	norikaeru	to tansfer
乗 り 物	の り もの	norimono	vehicle
葉	は	ha	leaf
場合	ばあい	baai	situation
倍	ばい	bai	twice
歯医者	はいしゃ	haisha	dentist
運 ぶ	はこ ぶ	hakobu	to transport
始 め る	はじ め る	hajimeru	to begin
場所	ばしょ	basho	location
恥 ず か し い	は ず か し い	hazukashii	embarrassed
発音	はつおん	hatsuon	pronunciation
林	はやし	hayashi	woods
払 う	はら う	harau	to pay
反対	はんたい	hantai	Opposition
日	ひ	hi	day
火	ひ	hi	fire
光	ひかり	hikari	light
光 る	ひか る	hikaru	to shine
引 き 出 し	ひ き だ し	hikidashi	drawer
引 き 出 す	ひ き だ す	hikidasu	to draw out
髭	ひげ	hige	a mustache
飛行場	ひこうじょう	hikoujou	an airport
久 し ぶ り	ひさ し ぶ り	hisashiburi	after a long time
美術館	びじゅつかん	bijyutsukan	art gallery
非常 に	ひじょう に	hijouni	extremely
吃驚	びっくり	bikkuri	be surprised
引っ越 す	ひっこ す	hikkosu	to move (house)
必要	ひつよう	hitsuyou	necessary
酷 い	ひど い	hidoi	awful
開 く	ひら く	hiraku	to open an event
昼休 み	ひるやす み	hiruyasumi	noon break
増 え る	ふ え る	fueru	to increase
深 い	ふか い	fukai	deep
復習	ふくしゅう	fukushuu	revision
部長	ぶちょう	buchou	head of a section
普通	ふつう	futsuu	usually
葡萄	ぶどう	budou	a grape
太 る	ふと る	futoru	to grow fat
布団	ふとん	futon	Japanese bed
船	ふね	fune	ship
不便	ふべん	fuben	inconvenience
踏 む	ふ む	fumu	to step on
降 り 出 す	ふ り だ す	furidasu	start to rain
文化	ぶんか	bunka	culture
文学	ぶんがく	bungaku	litterature
文法	ぶんぽう	bunpou	grammar
別	べつ	betsu	different
変	へん	hen	strange
返事	へんじ	henji	reply
貿易	ぼうえき	boueki	trade
放送	ほうそう	housou	to broadcast
法律	ほうりつ	houritsu	law
僕	ぼく	boku	I (for male)
星	ほし	hoshi	star
翻訳	ほんやく	honyaku	translation
負 け る	ま け る	makeru	to lose
真面目	まじめ	majime	serious
間違 え る	まちが え る	machigaeru	to make a mistake
間 に 合 う	ま に あ う	maniau	to be in time for
周 り	まわ り	mawari	surroundings
回 る	まわ る	mawaru	to go around
真 ん 中	ま ん なか	mannaka	middle
見 え る	み え る	mieru	be seen
湖	みずうみ	mizuumi	a lake
味噌	みそ	miso	bean paste
見 つ か る	み つ か る	mitsukaru	to be discovered
見 つ け る	み つ け る	mitsukeru	to discover
皆	みな	mina	everybody
港	みなと	minato	harbour
向 か う	む か う	mukau	to face
迎 え る	むか え る	mukaeru	to go to meet
昔	むかし	mukashi	olden days
虫	むし	mushi	insect
息子	むすこ	musuko	son
娘	むすめ	musume	daughter
無理	むり	muri	impossible
召 し 上 が る	め し あ が る	meshiagaru	to eat (respectful)
珍 し い	めずら し い	mezurashii	rare
木綿	もめん	momen	cotton
貰 う	もら う	morau	to receive
森	もり	mori	forest
焼 く	や く	yaku	to bake
約束	やくそく	yakusoku	promise
役 に 立 つ	やく に た つ	yakunitatsu	to be helpful
優 し い	やさ し い	yasashii	kind
痩 せ る	や せ る	yaseru	to become thin
止 む	や む	yamu	to stop
止 め る	や め る	yameru	to stop
柔 ら か い	やわ ら か い	yawarakai	soft
湯	ゆ	yu	hot water
輸出	ゆしゅつ	yushutsu	export
輸入	ゆにゅう	yunyuu	import
指	ゆび	yubi	finger
指輪	ゆびわ	yubiwa	a ring
夢	ゆめ	yume	dream
揺 れ る	ゆ れ る	yureru	to shake
用	よう	you	use
用意	ようい	youi	preparation
用事	ようじ	youji	things to do
汚 れ る	よご れ る	yogoreru	to get dirty
予定	よてい	yotei	arrangement
予約	よやく	yoyaku	reservation
寄 る	よ る	yoru	to visit
喜 ぶ	よろこ ぶ	yorokobu	to be delighted
理由	りゆう	riyuu	reason
利用	りよう	riyou	utilization
両方	りょうほう	ryouhou	both sides
留守	るす	rusu	absence
冷房	れいぼう	reibou	air conditioning
歴史	れきし	rekishi	history
連絡	れんらく	renraku	contact
沸 か す	わ か す	wakasu	to boil
別 れ る	わか れ る	wakareru	to separate
訳	わけ	wake	meaning
忘 れ 物	わす れ もの	wasuremono	lost article
笑 う	わら う	warau	to laugh
割 れ る	わ れ る	wareru	to break
