Kanji	Furigana	Romaji	Meaning
品物	しなもの	shinamono	goods
島	しま	shima	island
市民	しみん	shimin	citizen
事務所	じむしょ	jimusho	office
社会	しゃかい	shakai	society
社長	しゃちょう	shachou	company president
自由	じゆう	jiyuu	freedom
習慣	しゅうかん	shuukan	custom
柔道	じゅうどう	jyuudou	judo
十分	じゅうぶん	jyuubun	enough
出席	しゅっせき	shusseki	attendance
出発	しゅっぱつ	shuppatsu	departure
趣味	しゅみ	shumi	a hobby
準備	じゅんび	junbi	preparation
紹介	しょうかい	shoukai	introduction
小学校	しょうがっこう	shougakkou	elementary school
小説	しょうせつ	shousetsu	novel
招待	しょうたい	shoutai	invitation
承知	しょうち	shouchi	consentment
将来	しょうらい	shourai	future
食事	しょくじ	shokuji	a meal
食料品	しょくりょうひん	shokuryouhin	groceries
女性	じょせい	jyosei	woman
知らせる	しらせる	shiraseru	to notify
調べる	しらべる	shiraberu	to investigate
人口	じんこう	jinkou	population
神社	じんじゃ	jinja	Shinto shrine
親切	しんせつ	shinsetsu	kindness
心配	しんぱい	shinpai	worries
新聞社	しんぶんしゃ	shinbunnsha	newspaper company
水泳	すいえい	suiei	swimming
水道	すいどう	suidou	water supply
過ぎる	すぎる	sugiru	to exceed
空く	すく	suku	to become empty
凄い	すごい	sugoi	terrific
進む	すすむ	susumu	to make progress
捨てる	すてる	suteru	to throw away
砂	すな	suna	sand
素晴らしい	すばらしい	subarashii	wonderful
滑る	すべる	suberu	to slide
隅	すみ	sumi	corner
済む	すむ	sumu	to finish
生活	せいかつ	seikatsu	life
生産	せいさん	seisan	production
西洋	せいよう	seiyou	western countries
世界	せかい	sekai	the world
席	せき	seki	seat
説明	せつめい	setsumei	explanation
是非	ぜひ	zehi	without fail
世話	せわ	sewa	to look after
線	せん	sen	line
戦争	せんそう	sensou	war
先輩	せんぱい	senpai	senior
相談	そうだん	soudan	to discuss
卒業	そつぎょう	sotsugyou	graduation
祖父	そふ	sofu	grandfather
祖母	そぼ	sobo	grandmother
退院	たいいん	taiin	leave hospital
大学生	だいがくせい	daigakusei	university student
大事	だいじ	daiji	important
大体	だいたい	daitai	generally
大分	だいぶ	daibu	greatly
台風	たいふう	taifuu	typhoon
倒れる	たおれる	taoreru	to break down
確か	たしか	tashika	definite
足す	たす	tasu	to add a number
訪ねる	たずねる	tazuneru	 to visit
尋ねる	たずねる	tazuneru	 to ask
正しい	ただしい	tadashii	correct
畳	たたみ	tatami	a Tatami
立てる	たてる	tateru	stand up
建てる	たてる	tateru	to build
例えば	たとえば	tatoeba	for example
棚	たな	tana	shelves
楽しみ	たのしみ	tanoshimi	pleasure
為	ため	tame	in order to
駄目	だめ	dame	no good
足りる	たりる	tariru	be sufficient
男性	だんせい	dansei	man
暖房	だんぼう	danbou	heating
血	ち	chi	blood
力	ちから	chikara	strengh
注意	ちゅうい	chuui	caution
中学校	ちゅうがっこう	chuugakkou	junior high school
注射	ちゅうしゃ	chuusha	injection
駐車場	ちゅうしゃじょう	chuushajou	parking lot
地理	ちり	chiri	geography
捕まえる	つかまえる	tsukamaeru	to seize
月	つき	tsuki	moon
付く	つく	tsuku	to be attached
漬ける	つける	tsukeru	to soak
都合	つごう	tsugou	circumstances
伝える	つたえる	tsutaeru	to report
続く	つづく	tsuzuku	continue
続ける	つづける	tsuzukeru	to continue
包む	つつむ	tsutsumu	to wrap
妻	つま	tsuma	wife
釣る	つる	tsuru	to fish
連れる	つれる	tsureru	to lead
丁寧	ていねい	teinei	polite
適当	てきとう	tekitou	suitable
手伝う	てつだう	tetsudau	to assist
手袋	てぶくろ	tebukuro	glove
寺	てら	tera	temple
点	てん	ten	point
店員	てんいん	tenin	shop assistant
天気予報	てんきよほう	tenkiyohou	weather forecast
電灯	でんとう	dentou	electric light
電報	でんぽう	denpou	 telegram
展覧会	てんらんかい	tenrankai	exhibition
都	と	to	metropolitan
道具	どうぐ	dougu	tool
動物園	どうぶつえん	doubutsuen	zoo
遠く	とおく	tooku	distant
通る	とおる	tooru	to go through
特別	とくべつ	tokubetsu	special
床屋	とこや	tokoya	a barber shop
途中	とちゅう	tochuu	on the way
届ける	とどける	todokeru	to reach
泊まる	とまる	tomaru	to lodge at
止める	とめる	tomeru	to stop
取り替える	とりかえる	torikaeru	to exchange
泥棒	どろぼう	dorobou	thief
直す	なおす	naosu	to fix
中々	なかなか	nakanaka	considerably
泣く	なく	naku	to cry
亡くなる	なくなる	nakunaru	to die
投げる	なげる	nageru	to throw away
鳴る	なる	naru	sound
匂い	におい	nioi	a smell
苦い	にがい	nigai	bitter
二階建て	にかいだて	nikaidate	two storied
逃げる	にげる	nigeru	to escape
日記	にっき	nikki	diary
入院	にゅういん	nyuuin	be hospitalized
似る	にる	niru	to be similar
人形	にんぎょう	ninngyou	a doll
盗む	ぬすむ	nusumu	to steal
塗る	ぬる	nuru	to paint
濡れる	ぬれる	nureru	to get wet
値段	ねだん	nedan	price
熱	ねつ	netsu	fever
熱心	ねっしん	nesshin	enthusiasm
寝坊	ねぼう	nebou	sleeping in late
眠い	ねむい	nemui	to be sleepy
眠る	ねむる	nemuru	to sleep
残る	のこる	nokoru	to remain
乗り換える	のりかえる	norikaeru	to tansfer
乗り物	のりもの	norimono	vehicle
葉	は	ha	leaf
場合	ばあい	baai	situation
倍	ばい	bai	twice
歯医者	はいしゃ	haisha	dentist
運ぶ	はこぶ	hakobu	to transport
始める	はじめる	hajimeru	to begin
場所	ばしょ	basho	location
恥ずかしい	はずかしい	hazukashii	embarrassed
発音	はつおん	hatsuon	pronunciation
林	はやし	hayashi	woods
払う	はらう	harau	to pay
反対	はんたい	hantai	Opposition
日	ひ	hi	day
火	ひ	hi	fire
光	ひかり	hikari	light
光る	ひかる	hikaru	to shine
引き出し	ひきだし	hikidashi	drawer
引き出す	ひきだす	hikidasu	to draw out
髭	ひげ	hige	a mustache
飛行場	ひこうじょう	hikoujou	an airport
久しぶり	ひさしぶり	hisashiburi	after a long time
美術館	びじゅつかん	bijyutsukan	art gallery
非常に	ひじょうに	hijouni	extremely
吃驚	びっくり	bikkuri	be surprised
引っ越す	ひっこす	hikkosu	to move (house)
必要	ひつよう	hitsuyou	necessary
酷い	ひどい	hidoi	awful
開く	ひらく	hiraku	to open an event
昼休み	ひるやすみ	hiruyasumi	noon break
増える	ふえる	fueru	to increase
深い	ふかい	fukai	deep
復習	ふくしゅう	fukushuu	revision
部長	ぶちょう	buchou	head of a section
普通	ふつう	futsuu	usually
葡萄	ぶどう	budou	a grape
太る	ふとる	futoru	to grow fat
布団	ふとん	futon	Japanese bed
船	ふね	fune	ship
不便	ふべん	fuben	inconvenience
踏む	ふむ	fumu	to step on
降り出す	ふりだす	furidasu	start to rain
文化	ぶんか	bunka	culture
文学	ぶんがく	bungaku	litterature
文法	ぶんぽう	bunpou	grammar
別	べつ	betsu	different
変	へん	hen	strange
返事	へんじ	henji	reply
貿易	ぼうえき	boueki	trade
放送	ほうそう	housou	to broadcast
法律	ほうりつ	houritsu	law
僕	ぼく	boku	I (for male)
星	ほし	hoshi	star
翻訳	ほんやく	honyaku	translation
負ける	まける	makeru	to lose
真面目	まじめ	majime	serious
間違える	まちがえる	machigaeru	to make a mistake
間に合う	まにあう	maniau	to be in time for
周り	まわり	mawari	surroundings
回る	まわる	mawaru	to go around
真ん中	まんなか	mannaka	middle
見える	みえる	mieru	be seen
湖	みずうみ	mizuumi	a lake
味噌	みそ	miso	bean paste
見つかる	みつかる	mitsukaru	to be discovered
見つける	みつける	mitsukeru	to discover
皆	みな	mina	everybody
港	みなと	minato	harbour
向かう	むかう	mukau	to face
迎える	むかえる	mukaeru	to go to meet
昔	むかし	mukashi	olden days
虫	むし	mushi	insect
息子	むすこ	musuko	son
娘	むすめ	musume	daughter
無理	むり	muri	impossible
召し上がる	めしあがる	meshiagaru	to eat (respectful)
珍しい	めずらしい	mezurashii	rare
木綿	もめん	momen	cotton
貰う	もらう	morau	to receive
森	もり	mori	forest
焼く	やく	yaku	to bake
約束	やくそく	yakusoku	promise
役に立つ	やくにたつ	yakunitatsu	to be helpful
優しい	やさしい	yasashii	kind
痩せる	やせる	yaseru	to become thin
止む	やむ	yamu	to stop
止める	やめる	yameru	to stop
柔らかい	やわらかい	yawarakai	soft
湯	ゆ	yu	hot water
輸出	ゆしゅつ	yushutsu	export
輸入	ゆにゅう	yunyuu	import
指	ゆび	yubi	finger
指輪	ゆびわ	yubiwa	a ring
夢	ゆめ	yume	dream
揺れる	ゆれる	yureru	to shake
用	よう	you	use
用意	ようい	youi	preparation
用事	ようじ	youji	things to do
汚れる	よごれる	yogoreru	to get dirty
予定	よてい	yotei	arrangement
予約	よやく	yoyaku	reservation
寄る	よる	yoru	to visit
喜ぶ	よろこぶ	yorokobu	to be delighted
理由	りゆう	riyuu	reason
利用	りよう	riyou	utilization
両方	りょうほう	ryouhou	both sides
留守	るす	rusu	absence
冷房	れいぼう	reibou	air conditioning
歴史	れきし	rekishi	history
連絡	れんらく	renraku	contact
沸かす	わかす	wakasu	to boil
別れる	わかれる	wakareru	to separate
訳	わけ	wake	meaning
忘れ物	わすれもの	wasuremono	lost article
笑う	わらう	warau	to laugh
割れる	われる	wareru	to break
